Abbreviated Journal Title;ISSN;{2009} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2009} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
J ENDODONT;0099-2399;7898;2.953;3.151;0.487;277;6.8;0.01101;0.477;
J ENDOTOXIN RES;0968-0519;939;3.057;2.975;;0;5.9;0.00352;1.051;
J ENDOUROL;0892-7790;3624;1.754;1.760;0.201;329;4.3;0.01121;0.408;
J ENDOVASC THER;1526-6028;2571;2.902;2.936;1.242;91;4.8;0.00864;0.809;
J ENERG MATER;0737-0652;189;0.567;;0.412;17;>10.0;0.00030;;
J ENG EDUC;1069-4730;1078;2.317;3.809;0.103;29;5.3;0.00115;0.353;
J ENG MATER-T ASME;0094-4289;1695;0.815;1.447;0.088;68;>10.0;0.00458;0.683;
J ENG MATH;0022-0833;1042;0.691;0.951;0.282;71;7.6;0.00358;0.499;
J ENTOMOL SCI;0749-8004;591;0.426;0.426;0.109;46;>10.0;0.00097;0.147;
J ENVIRON ENG LANDSC;1648-6897;151;1.508;;0.147;34;2.7;0.00015;;
J ENVIRON ENG SCI;1496-2551;405;0.941;0.959;;;4.6;0.00194;0.295;
J ENVIRON ENG-ASCE;0733-9372;3852;1.048;1.380;0.116;164;9.4;0.00647;0.381;
J ENVIRON HEALTH;0022-0892;395;0.817;0.812;0.256;39;6.4;0.00097;0.219;
J ENVIRON MANAGE;0301-4797;5010;2.367;2.674;0.735;479;4.8;0.01353;0.655;
J ENVIRON MONITOR;1464-0325;2942;2.225;2.236;0.568;236;5.1;0.01037;0.687;
J ENVIRON PATHOL TOX;0731-8898;669;1.066;1.421;0.000;33;8.8;0.00118;0.358;
J ENVIRON PROT ECOL;1311-5065;91;0.168;;0.008;125;;0.00019;;
J ENVIRON QUAL;0047-2425;12391;2.291;2.981;0.355;248;8.6;0.02219;0.863;
J ENVIRON RADIOACTIV;0265-931X;2633;1.268;1.485;0.480;150;6.2;0.00711;0.421;
J ENVIRON SCI HEAL A;1093-4529;2359;1.363;1.301;0.228;180;5.1;0.00635;0.295;
J ENVIRON SCI HEAL B;0360-1234;1015;1.097;1.064;0.067;105;6.2;0.00245;0.258;
J ENVIRON SCI HEAL C;1059-0501;204;3.227;3.268;0.500;14;3.9;0.00074;0.872;
J ENVIRON SCI-CHINA;1001-0742;1438;1.412;1.012;0.079;267;3.1;0.00536;0.227;
J ENZYM INHIB MED CH;1475-6366;1246;1.496;1.724;0.335;161;4.3;0.00314;0.310;
J EPIDEMIOL COMMUN H;0143-005X;8307;3.043;3.910;0.543;164;6.7;0.02626;1.436;
J EPIDEMIOL;0917-5040;948;1.643;1.877;0.239;46;6.8;0.00275;0.651;
J EQUINE VET SCI;0737-0806;471;0.472;0.568;0.151;73;9.0;0.00080;0.141;
J ESSENT OIL BEAR PL;0972-060X;134;0.310;;0.030;100;4.0;0.00033;;
J ESSENT OIL RES;1041-2905;1976;0.498;0.719;0.045;157;8.7;0.00237;0.121;
J ESTHET RESTOR DENT;1496-4155;395;0.797;;0.139;36;5.6;0.00135;;
J ETHNOPHARMACOL;0378-8741;13747;2.322;2.986;0.281;481;6.5;0.02164;0.499;
J ETHOL;0289-0771;449;1.222;1.225;0.221;68;5.4;0.00180;0.453;
J EUKARYOT MICROBIOL;1066-5234;2293;2.355;2.096;0.459;74;7.2;0.00605;0.677;
J EUR ACAD DERMATOL;0926-9959;3090;2.787;2.374;0.720;168;4.0;0.01050;0.603;
J EUR MATH SOC;1435-9855;397;1.736;1.906;0.318;44;4.0;0.00631;2.181;
J EVAL CLIN PRACT;1356-1294;1361;1.487;1.708;0.788;165;3.7;0.00451;0.472;
J EVOL BIOCHEM PHYS+;0022-0930;366;0.267;0.296;0.041;73;8.9;0.00032;0.040;
J EVOL EQU;1424-3199;226;0.918;0.931;0.111;36;4.9;0.00270;0.896;
J EVOLUTION BIOL;1010-061X;6529;3.816;4.020;0.660;250;5.0;0.03308;1.748;
J EXOT PET MED;1557-5063;35;0.214;0.308;0.115;26;;0.00011;0.049;
J EXP ANAL BEHAV;0022-5002;2673;1.585;1.688;0.111;45;>10.0;0.00260;0.528;
J EXP BIOL;0022-0949;20334;2.722;3.254;0.743;440;8.0;0.05225;1.159;
J EXP BOT;0022-0957;17681;4.271;4.745;1.104;336;6.4;0.05137;1.466;
J EXP CLIN CANC RES;1756-9966;1089;1.274;1.274;0.308;159;5.7;0.00295;0.344;
J EXP MAR BIOL ECOL;0022-0981;10938;2.116;2.443;0.357;263;>10.0;0.02141;0.741;
J EXP MED;0022-1007;65865;14.505;14.609;2.817;241;8.6;0.23149;7.396;
J EXP NANOSCI;1745-8080;90;0.614;0.955;0.111;36;;0.00047;0.254;
J EXP PSYCHOL ANIM B;0097-7403;2074;2.451;2.609;0.471;51;>10.0;0.00444;1.057;
J EXP PSYCHOL HUMAN;0096-1523;10540;3.065;3.953;0.457;138;>10.0;0.01556;1.517;
J EXP PSYCHOL LEARN;0278-7393;8598;3.344;3.688;0.374;123;>10.0;0.01776;1.697;
J EXP THEOR ARTIF IN;0952-813X;312;0.533;0.761;0.133;15;9.3;0.00033;0.170;
J EXP ZOOL PART A;1932-5223;827;1.444;1.475;0.311;74;4.2;0.00439;0.481;
J EXP ZOOL PART B;1552-5007;919;2.938;3.126;0.594;69;3.5;0.00741;1.497;
J EXPO SCI ENV EPID;1559-0631;1917;2.718;2.982;0.839;56;5.6;0.00711;1.039;
J FAM NURS;1074-8407;273;1.250;;0.500;22;6.6;0.00046;;
J FAM PRACTICE;0094-3509;2534;1.426;1.346;0.098;41;>10.0;0.00242;0.415;
J FELINE MED SURG;1098-612X;853;1.291;1.733;0.270;137;4.6;0.00233;0.351;
J FIELD ROBOT;1556-4959;368;1.989;2.620;0.190;42;3.0;0.00194;0.682;
J FIRE PROT ENG;1042-3915;129;0.296;;0.143;14;7.5;0.00038;;
J FIRE SCI;0734-9041;391;0.860;1.115;0.074;27;8.0;0.00101;0.370;
J FISH DIS;0140-7775;2461;1.697;1.986;0.439;114;7.7;0.00470;0.509;
J FIX POINT THEORY A;1661-7738;56;0.605;0.605;0.132;38;;0.00073;0.435;
J FLUORESC;1053-0509;1787;2.017;2.521;0.228;127;4.6;0.00710;0.675;
J FLUORINE CHEM;0022-1139;4305;1.730;1.737;0.366;175;6.8;0.00910;0.421;
J FOOD AGRIC ENVIRON;1459-0255;403;0.349;;0.125;393;2.9;0.00123;;
J FOOD BIOCHEM;0145-8884;715;0.779;1.154;0.102;59;8.9;0.00128;0.270;
J FOOD COMPOS ANAL;0889-1575;2563;2.423;2.913;0.519;133;5.1;0.00673;0.669;
J FOOD DRUG ANAL;1021-9498;365;0.630;0.587;0.068;59;5.9;0.00082;0.126;
J FOOD ENG;0260-8774;9875;2.313;2.523;0.432;426;4.8;0.02743;0.566;
J FOOD HYG SOC JPN;0015-6426;366;0.374;0.364;0.060;67;8.5;0.00053;0.080;
J FOOD LIPIDS;1065-7258;422;1.070;1.354;0.136;44;5.6;0.00118;0.352;
J FOOD NUTR RES;1336-8672;60;0.655;;0.120;25;;0.00021;;
J FOOD PROCESS ENG;0145-8876;592;0.846;0.991;0.088;57;9.4;0.00117;0.263;
J FOOD PROCESS PRES;0145-8892;686;0.421;0.702;0.060;84;>10.0;0.00083;0.162;
J FOOD PROTECT;0362-028X;11462;1.960;2.206;0.221;375;7.4;0.02155;0.514;
J FOOD QUALITY;0146-9428;588;0.600;0.793;0.039;51;9.5;0.00099;0.189;
J FOOD SAFETY;0149-6085;487;0.646;0.844;0.120;50;>10.0;0.00060;0.187;
J FOOD SCI TECH MYS;0022-1155;971;0.318;0.324;0.035;141;>10.0;0.00078;0.051;
J FOOD SCI;0022-1147;16118;1.601;1.813;0.203;384;>10.0;0.01703;0.464;
J FORENSIC SCI;0022-1198;4633;1.524;1.363;0.200;235;8.4;0.01093;0.439;
J FORMOS MED ASSOC;0929-6646;1408;0.661;0.686;0.272;125;7.3;0.00311;0.189;
J FOURIER ANAL APPL;1069-5869;835;1.534;1.570;0.167;42;8.7;0.00561;1.506;
J FRANKLIN I;0016-0032;1129;1.130;1.045;0.164;73;>10.0;0.00189;0.317;
J FRESHWATER ECOL;0270-5060;624;0.476;0.533;0.037;81;7.7;0.00136;0.144;
J FUEL CELL SCI TECH;1550-624X;419;1.000;1.494;0.169;89;3.3;0.00225;0.402;
J FUNCT PROGRAM;0956-7968;403;1.474;1.472;0.200;25;7.0;0.00146;0.664;
J FUNCT SPACE APPL;0972-6802;57;0.583;;0.167;18;;0.00102;;
J GASTROEN HEPATOL;0815-9319;6744;2.317;2.308;0.765;268;4.9;0.02005;0.596;
J GASTROENTEROL;0944-1174;3766;2.909;2.814;0.622;172;5.0;0.01294;0.803;
J GASTROINTEST LIVER;1841-8724;261;1.265;;;;2.6;0.00135;;
J GASTROINTEST SURG;1091-255X;4857;2.402;2.707;0.376;330;4.5;0.01868;0.802;
J GEN APPL MICROBIOL;0022-1260;1109;0.957;1.172;0.154;52;>10.0;0.00177;0.365;
J GEN INTERN MED;0884-8734;9303;2.654;3.664;0.477;235;5.8;0.04025;1.497;
J GEN PHYSIOL;0022-1295;7746;4.260;4.439;1.338;71;>10.0;0.02146;2.190;
J GEN VIROL;0022-1317;18524;3.260;3.241;0.742;356;8.5;0.04233;1.035;
J GENE MED;1099-498X;2986;2.968;3.255;0.519;108;4.7;0.01403;1.036;
J GENET GENOMICS;1673-8527;195;0.813;0.827;0.195;77;1.9;0.00105;0.235;
J GENET PSYCHOL;0022-1325;944;0.727;1.198;0.091;22;>10.0;0.00103;0.409;
J GENET;0022-1333;542;0.762;0.738;0.030;66;>10.0;0.00138;0.340;
J GEODESY;0949-7714;1226;2.429;2.209;0.505;95;4.8;0.00460;0.747;
J GEOM PHYS;0393-0440;1169;0.714;0.892;0.230;113;6.9;0.00723;0.627;
J GERIATR PSYCH NEUR;0891-9887;938;1.915;2.581;0.258;31;6.6;0.00281;0.843;
J GERONTOL A-BIOL;1079-5006;7994;3.083;3.815;0.879;165;6.6;0.02302;1.233;
J GERONTOL B-PSYCHOL;1079-5014;3825;2.094;2.825;0.340;100;7.6;0.01095;1.139;
J GERONTOL NURS;0098-9134;953;0.815;;0.127;63;8.1;0.00175;;
J GLOBAL OPTIM;0925-5001;2594;1.454;1.716;0.229;109;8.3;0.00792;0.725;
J GREAT LAKES RES;0380-1330;2085;1.403;1.525;1.333;87;8.6;0.00383;0.446;
J GREY SYST-UK;0957-3720;265;0.417;;0.024;42;>10.0;0.00005;;
J GUID CONTROL DYNAM;0731-5090;3567;1.031;1.145;0.180;200;>10.0;0.00686;0.384;
J HAND SURG-AM;0363-5023;5871;1.326;1.630;0.172;239;>10.0;0.00908;0.416;
J HAND SURG-EUR VOL;1753-1934;2976;0.820;1.164;0.071;113;>10.0;0.00462;0.349;
J HAND THER;0894-1130;675;0.612;;0.176;34;8.2;0.00176;;
J HAZARD MATER;0304-3894;21180;4.144;4.360;0.646;2371;3.0;0.05725;0.772;
J HEAD TRAUMA REHAB;0885-9701;1953;2.391;3.639;1.222;45;7.1;0.00420;0.921;
J HEADACHE PAIN;1129-2369;509;2.137;;0.514;72;3.0;0.00220;;
J HEALTH ECON;0167-6296;3137;1.885;2.877;0.396;91;7.7;0.01233;1.732;
J HEALTH POLIT POLIC;0361-6878;695;1.241;1.439;0.333;30;8.1;0.00233;0.655;
J HEALTH POPUL NUTR;1606-0997;579;0.859;1.297;0.867;75;4.4;0.00223;0.436;
J HEALTH SCI;1344-9702;734;0.683;0.794;0.147;129;4.7;0.00208;0.177;
J HEART LUNG TRANSPL;1053-2498;6073;3.541;2.951;0.461;219;4.7;0.02254;0.884;
J HEART VALVE DIS;0966-8519;2017;1.033;1.311;0.238;105;6.9;0.00705;0.517;
J HELMINTHOL;0022-149X;1241;0.863;1.284;0.446;56;>10.0;0.00203;0.338;
J HEMATOL ONCOL;1756-8722;51;1.360;1.360;0.333;51;;0.00025;0.476;
J HEPATO-BILIARY-PAN;0944-1166;1744;1.601;1.733;0.229;140;6.1;0.00424;0.429;
J HEPATOL;0168-8278;17413;7.818;6.624;2.559;222;6.1;0.04699;1.867;
J HERED;0022-1503;5769;2.052;2.549;0.538;104;>10.0;0.00878;0.915;
J HERPETOL;0022-1511;2572;1.011;1.176;0.125;88;>10.0;0.00383;0.396;
J HETEROCYCLIC CHEM;0022-152X;5377;1.009;0.959;0.133;233;>10.0;0.00467;0.190;
J HEURISTICS;1381-1231;764;1.264;1.728;0.440;25;8.1;0.00185;0.713;
J HIGH SPEED NETW;0926-6801;239;0.379;0.442;;;>10.0;0.00024;0.122;
J HIST ASTRON;0021-8286;255;0.434;0.369;0.053;19;>10.0;0.00019;0.069;
J HIST BIOL;0022-5010;526;0.833;1.000;0.091;22;>10.0;0.00111;0.546;
J HIST MED ALL SCI;0022-5045;367;0.742;0.973;0.077;13;>10.0;0.00093;0.607;
J HIST NEUROSCI;0964-704X;117;0.413;;0.091;22;7.7;0.00025;;
J HISTOCHEM CYTOCHEM;0022-1554;7924;2.372;2.649;0.398;108;>10.0;0.01400;0.908;
J HISTOTECHNOL;0147-8885;154;0.357;0.226;0.067;15;>10.0;0.00009;0.037;
J HOPKINS APL TECH D;0270-5214;141;0.037;0.246;0.000;8;>10.0;0.00030;0.118;
J HOSP INFECT;0195-6701;5192;3.012;3.016;0.479;140;6.1;0.01624;0.949;
J HOSP MED;1553-5592;367;1.496;;0.649;74;2.5;0.00248;;
J HUAZHONG U SCI-MED;1672-0733;384;0.311;;0.067;163;3.8;0.00171;;
J HUM EVOL;0047-2484;5242;2.987;4.077;1.273;99;8.9;0.01482;1.663;
J HUM GENET;1434-5161;2266;2.547;2.384;0.322;121;4.1;0.01084;0.812;
J HUM HYPERTENS;0950-9240;3328;2.289;2.232;0.523;107;6.6;0.00862;0.631;
J HUM LACT;0890-3344;608;1.014;1.350;0.143;42;6.8;0.00134;0.351;
J HUM NUTR DIET;0952-3871;942;1.921;2.175;0.297;64;5.6;0.00242;0.507;
J HYDROINFORM;1464-7141;186;0.979;0.947;0.154;26;5.4;0.00078;0.331;
J HYDROL ENG;1084-0699;1190;1.098;1.479;0.122;148;6.1;0.00379;0.477;
J HYMENOPT RES;1070-9428;230;0.676;;;;>10.0;0.00050;;
J HYPERBOL DIFFER EQ;0219-8916;155;0.638;0.926;0.148;27;4.2;0.00276;0.813;
J HYPERTENS;0263-6352;13845;4.988;4.487;0.986;289;6.3;0.03705;1.284;
J I BREWING;0046-9750;999;1.000;0.976;0.059;34;>10.0;0.00092;0.208;
J I TELECOMMUN PROF;1755-9278;6;0.096;;0.050;20;;0.00002;;
J IMAGING SCI TECHN;1062-3701;501;0.391;0.454;0.089;56;8.3;0.00100;0.139;
J IMMUNOASS IMMUNOCH;1532-1819;146;0.508;0.559;0.088;34;5.1;0.00044;0.139;
J IMMUNOL METHODS;0022-1759;11609;2.347;2.558;0.450;171;>10.0;0.01827;0.850;
J IMMUNOL;0022-1767;124712;5.646;5.847;1.030;1598;6.8;0.42612;2.213;
J IMMUNOTHER;1524-9557;2075;3.203;3.390;0.490;98;4.7;0.00778;1.027;
J IMMUNOTOXICOL;1547-691X;149;1.218;;0.000;20;2.3;0.00072;;
J INCL PHENOM MACRO;0923-0750;2259;1.165;1.270;0.168;137;7.3;0.00459;0.308;
J IND ECOL;1088-1980;1200;2.393;;1.400;55;5.1;0.00395;;
J IND ENG CHEM;1226-086X;1215;1.752;1.207;0.265;170;3.1;0.00346;0.223;
J IND MANAG OPTIM;1547-5816;224;1.120;1.178;0.194;62;2.7;0.00155;0.413;
J IND MICROBIOL BIOT;1367-5435;3637;1.798;2.086;0.322;177;7.9;0.00658;0.531;
J INDIAN CHEM SOC;0019-4522;2278;0.382;0.425;0.052;233;>10.0;0.00198;0.076;
J INEQUAL APPL;1025-5834;481;0.792;;0.130;161;3.4;0.00385;;
J INF SCI ENG;1016-2364;328;0.315;0.390;0.043;115;5.2;0.00086;0.090;
J INF SCI;0165-5515;939;1.706;1.996;0.149;47;6.0;0.00287;0.592;
J INF TECHNOL;0268-3962;879;2.049;2.664;0.321;28;6.9;0.00190;0.695;
J INFECT DIS;0022-1899;38500;5.865;5.698;1.665;478;7.6;0.11360;2.117;
J INFECTION;0163-4453;3464;3.060;2.842;0.521;117;5.0;0.01192;0.888;
J INHERIT METAB DIS;0141-8955;3021;3.598;2.474;0.861;79;5.9;0.00935;0.760;
J INNATE IMMUN;1662-811X;90;;;1.509;57;;0.00004;;
J INORG BIOCHEM;0162-0134;8659;3.252;3.713;0.693;218;5.7;0.02279;0.909;
J INORG ORGANOMET P;1574-1443;645;1.691;1.674;0.375;72;4.2;0.00184;0.389;
J INSECT BEHAV;0892-7553;1383;1.056;1.293;0.195;41;9.8;0.00248;0.447;
J INSECT CONSERV;1366-638X;623;1.842;;0.283;60;5.4;0.00189;;
J INSECT PHYSIOL;0022-1910;5851;2.235;2.363;0.552;154;>10.0;0.01063;0.708;
J INSECT SCI;1536-2442;612;1.069;1.396;0.222;72;4.9;0.00259;0.461;
J INSTRUM;1748-0221;566;2.102;1.891;0.633;221;1.5;0.00232;0.506;
J INT MED RES;0300-0605;1065;0.938;0.986;0.068;192;5.7;0.00293;0.253;
J INT NEUROPSYCH SOC;1355-6177;3499;2.766;3.379;0.505;107;6.1;0.01065;1.038;
J INT SCI VIGNE VIN;1151-0285;239;0.771;0.750;0.136;22;7.5;0.00044;0.169;
J INTEGR NEUROSCI;0219-6352;300;1.294;;0.176;17;4.3;0.00112;;
J INTEGR PLANT BIOL;1672-9072;928;1.395;1.211;0.248;117;2.7;0.00538;0.354;
J INTEL MAT SYST STR;1045-389X;2180;1.177;1.737;0.219;178;6.7;0.00666;0.597;
J INTELL FUZZY SYST;1064-1246;336;0.740;0.707;0.000;20;9.0;0.00059;0.164;
J INTELL INF SYST;0925-9902;545;0.980;1.207;0.125;24;8.3;0.00087;0.345;
J INTELL MANUF;0956-5515;979;0.938;1.406;0.063;63;6.9;0.00197;0.337;
J INTELL ROBOT SYST;0921-0296;568;0.858;0.801;0.000;80;7.0;0.00140;0.234;
J INTERF CYTOK RES;1079-9907;2307;1.627;2.169;0.231;78;7.7;0.00613;0.765;
J INTERN MED;0954-6820;7470;5.942;5.882;1.448;105;6.1;0.02625;2.092;
J INTERV CARD ELECTR;1383-875X;825;1.056;1.269;0.415;94;4.5;0.00346;0.399;
J INVERTEBR PATHOL;0022-2011;3304;1.807;1.815;0.365;115;>10.0;0.00516;0.493;
J INVEST ALLERG CLIN;1018-9068;972;1.189;1.427;0.312;80;4.7;0.00284;0.343;
J INVEST DERM SYMP P;1087-0024;606;1.435;2.484;0.000;15;5.9;0.00201;0.755;
J INVEST DERMATOL;0022-202X;20245;5.543;5.001;1.781;269;7.6;0.05127;1.606;
J INVEST MED;1081-5589;920;1.628;1.809;0.472;53;7.2;0.00226;0.520;
J IRAN CHEM SOC;1735-207X;426;1.362;1.513;0.155;97;2.8;0.00193;0.342;
J JPN SOC FOOD SCI;1341-027X;294;0.153;0.177;0.022;91;8.9;0.00055;0.050;
J KANSAS ENTOMOL SOC;0022-8567;945;0.607;0.607;0.032;31;>10.0;0.00112;0.213;
J KOREAN INST MET MA;1738-8228;293;0.551;;0.118;119;4.2;0.00040;;
J KOREAN MATH SOC;0304-9914;329;0.374;0.389;0.146;82;5.4;0.00248;0.268;
J KOREAN MED SCI;1011-8934;1974;0.838;1.025;0.071;268;5.5;0.00565;0.265;
J KOREAN NEUROSURG S;2005-3711;201;0.155;;0.037;188;5.0;0.00032;;
J KOREAN STAT SOC;1226-3192;48;0.234;;0.125;40;;0.00030;;
J LABELLED COMPD RAD;0362-4803;1238;0.689;0.721;0.103;87;7.8;0.00231;0.173;
J LARYNGOL OTOL;0022-2151;4574;0.851;0.877;0.098;296;>10.0;0.00620;0.244;
J LASER MICRO NANOEN;1880-0688;71;0.429;0.489;0.043;46;;0.00024;0.084;
J LAW MED ETHICS;1073-1105;964;1.433;1.184;0.624;85;5.1;0.00398;0.445;
J LEUKOCYTE BIOL;0741-5400;13946;4.403;4.594;0.711;246;5.8;0.05313;1.672;
J LIPID RES;0022-2275;17618;4.917;4.790;1.219;324;7.8;0.04551;1.603;
J LIPOSOME RES;0898-2104;429;1.792;1.944;0.162;37;5.9;0.00101;0.451;
J LIQ CHROMATOGR R T;1082-6076;2863;0.998;1.022;0.096;209;7.9;0.00575;0.258;
J LOGIC ALGEBR PROGR;1567-8326;235;1.060;1.293;0.156;32;4.8;0.00129;0.444;
J LOGIC COMPUT;0955-792X;767;0.789;1.075;0.159;63;8.0;0.00202;0.457;
J LOSS PREVENT PROC;0950-4230;892;0.810;1.014;0.126;143;6.8;0.00184;0.245;
J MACH LEARN RES;1532-4435;4132;2.789;4.748;0.200;100;5.7;0.02124;2.177;
J MACROMOL SCI A;1060-1325;2139;0.792;0.788;0.129;163;>10.0;0.00284;0.181;
J MACROMOL SCI B;0022-2348;1130;0.716;0.837;0.050;101;8.4;0.00227;0.237;
J MAGN MAGN MATER;0304-8853;20397;1.204;1.391;0.391;795;6.9;0.06022;0.448;
J MAGN RESON IMAGING;1053-1807;9376;2.770;2.967;0.311;383;6.0;0.03188;1.001;
J MAGN RESON;1090-7807;9970;2.531;2.615;0.556;214;9.8;0.02077;0.861;
J MAL VASCUL;0398-0499;269;0.439;0.417;0.167;30;9.3;0.00037;0.113;
J MAMMAL;0022-2372;6034;1.953;1.961;0.329;149;>10.0;0.01004;0.643;
J MAMMARY GLAND BIOL;1083-3021;1637;4.074;4.547;0.696;23;7.0;0.00496;1.589;
J MANAGE CARE PHARM;1083-4087;940;2.412;;0.580;50;3.4;0.00429;;
J MANAGE INFORM SYST;0742-1222;2650;2.098;3.215;0.000;38;8.7;0.00446;1.072;
J MANIP PHYSIOL THER;0161-4754;1475;1.059;1.341;0.211;90;8.3;0.00215;0.259;
J MANUF SYST;0278-6125;576;0.216;0.421;0.000;6;>10.0;0.00037;0.148;
J MASS SPECTROM;1076-5174;5151;3.411;3.153;0.513;158;6.2;0.01438;0.913;
J MATER CHEM;0959-9428;29162;4.795;5.257;0.772;1129;5.2;0.09857;1.557;
J MATER CIVIL ENG;0899-1561;1248;0.898;1.193;0.090;100;6.3;0.00540;0.538;
J MATER CYCLES WASTE;1438-4957;204;0.780;;0.040;50;5.2;0.00064;;
J MATER ENG PERFORM;1059-9495;812;0.592;0.665;0.064;187;6.3;0.00290;0.245;
J MATER PROCESS TECH;0924-0136;14088;1.420;1.574;0.249;762;6.3;0.03983;0.468;
J MATER RES;0884-2914;13768;1.667;2.181;0.239;447;8.6;0.03599;0.806;
J MATER SCI TECHNOL;1005-0302;886;0.828;0.594;0.073;165;4.3;0.00364;0.178;
J MATER SCI-MATER EL;0957-4522;1778;1.020;1.097;0.284;292;4.6;0.00697;0.364;
J MATER SCI-MATER M;0957-4530;6044;1.955;2.311;0.385;317;6.0;0.01469;0.562;
J MATER SCI;0022-2461;23610;1.471;1.536;0.283;820;9.9;0.05234;0.493;
J MATERN-FETAL NEO M;1476-7058;1191;1.362;;0.070;213;4.1;0.00572;;
J MATH ANAL APPL;0022-247X;15917;1.225;1.365;0.250;803;8.0;0.06657;0.696;
J MATH BIOL;0303-6812;2929;1.695;1.912;1.493;69;>10.0;0.00588;0.856;
J MATH CHEM;0259-9791;1470;1.381;1.405;0.236;161;5.9;0.00440;0.424;
J MATH ECON;0304-4068;1198;0.471;0.640;0.103;68;>10.0;0.00381;0.611;
J MATH FLUID MECH;1422-6928;297;1.214;;0.250;28;4.8;0.00309;;
J MATH IMAGING VIS;0924-9907;1074;1.437;2.467;0.246;61;5.4;0.00662;1.229;
J MATH MUSIC;1745-9737;25;1.167;1.222;0.300;10;;0.00007;0.185;
J MATH PSYCHOL;0022-2496;1504;1.296;1.729;0.490;49;>10.0;0.00320;0.992;
J MATH PURE APPL;0021-7824;1843;1.680;1.746;0.143;56;>10.0;0.00923;1.733;
J MATH SCI-U TOKYO;1340-5705;128;0.172;;0.000;12;9.9;0.00037;;
J MATH SOCIOL;0022-250X;492;0.720;0.836;0.167;12;>10.0;0.00090;0.712;
J MECH BEHAV BIOMED;1751-6161;148;3.176;3.176;0.597;67;1.3;0.00078;1.106;
J MECH MATER STRUCT;1559-3959;185;0.449;;0.034;88;2.9;0.00194;;
J MECH MED BIOL;0219-5194;88;0.435;;0.000;24;;0.00028;;
J MECH PHYS SOLIDS;0022-5096;9466;3.317;4.096;0.622;111;>10.0;0.02495;1.953;
J MED CHEM;0022-2623;49474;4.802;5.173;0.926;825;7.1;0.10861;1.289;
J MED ENTOMOL;0022-2585;5297;1.921;2.215;0.287;202;8.7;0.01147;0.673;
J MED ETHICS;0306-6800;2111;1.206;1.380;0.409;149;5.4;0.00700;0.407;
J MED FOOD;1096-620X;1162;1.390;1.745;0.073;192;4.4;0.00374;0.363;
J MED GENET;0022-2593;10710;5.751;5.196;1.568;125;6.3;0.03887;1.972;
J MED IMAG RADIAT ON;1754-9477;65;0.602;0.602;0.105;76;;0.00031;0.160;
J MED INTERNET RES;1438-8871;1319;3.924;4.938;0.460;50;4.6;0.00542;1.336;
J MED MICROBIOL;0022-2615;5628;2.272;2.567;0.302;248;5.7;0.01922;0.812;
J MED PLANTS RES;1996-0875;113;0.590;0.602;0.434;136;1.0;0.00013;0.076;
J MED PRIMATOL;0047-2565;845;1.107;1.338;0.232;69;8.1;0.00221;0.460;
J MED SCREEN;0969-1413;873;2.141;2.053;0.118;34;6.7;0.00281;0.712;
J MED SYST;0148-5598;611;0.654;0.921;0.137;51;6.3;0.00161;0.254;
J MED ULTRASON;1346-4523;77;0.255;;0.000;26;;0.00021;;
J MED VIROL;0146-6615;7667;2.470;2.572;0.578;275;6.3;0.02159;0.769;
J MEM LANG;0749-596X;5173;3.221;3.814;0.450;60;>10.0;0.01280;1.757;
J MEMBRANE BIOL;0022-2631;4222;2.189;2.482;0.247;77;>10.0;0.00860;0.968;
J MEMBRANE SCI;0376-7388;24096;3.203;3.792;0.525;629;6.2;0.05395;0.856;
J MEX CHEM SOC;1870-249X;61;0.362;;0.071;28;;0.00022;;
J MICRO-NANOLITH MEM;1537-1646;93;0.541;0.541;0.164;128;;0.00046;0.166;
J MICROBIOL METH;0167-7012;5911;2.427;2.686;0.274;234;6.0;0.01823;0.813;
J MICROBIOL;1225-8873;939;1.463;1.709;0.111;108;4.0;0.00493;0.534;
J MICROENCAPSUL;0265-2048;1660;1.890;1.911;0.222;81;7.7;0.00283;0.450;
J MICROMECH MICROENG;0960-1317;6725;1.997;2.473;0.279;373;4.7;0.02859;0.768;
J MICROSC-OXFORD;0022-2720;5049;1.612;1.902;0.315;149;9.1;0.01227;0.723;
J MIDWIFERY WOM HEAL;1526-9523;631;1.127;1.228;0.525;61;4.4;0.00234;0.324;
J MINIM INVAS GYN;1553-4650;1037;1.920;2.086;0.271;144;2.8;0.00542;0.546;
J MOD DYNAM;1930-5311;59;1.019;1.019;0.231;26;;0.00161;1.491;
J MOL BIOL;0022-2836;69710;3.871;4.303;0.993;916;9.2;0.21611;2.049;
J MOL CATAL A-CHEM;1381-1169;16594;3.135;3.238;0.475;373;5.2;0.04880;0.790;
J MOL CATAL B-ENZYM;1381-1177;3564;2.400;2.498;0.541;259;6.0;0.00789;0.574;
J MOL CELL CARDIOL;0022-2828;9263;4.965;4.738;1.071;198;6.6;0.03000;1.651;
J MOL DIAGN;1525-1578;1664;3.413;3.682;0.562;73;3.8;0.00912;1.245;
J MOL EVOL;0022-2844;8862;2.323;2.737;0.458;118;>10.0;0.01522;1.076;
J MOL GRAPH MODEL;1093-3263;4280;2.169;2.469;0.449;89;>10.0;0.00583;0.657;
